CIPCode,CIPArea,CIPTitle,CIPDefinition
01.0401,01,Agricultural and Food Products Processing.,"A program that prepares individuals to receive, inspect, store, process, and package agricultural products in the form of human food consumables, animal or plant food, or other industrial products.  Includes instruction in the nutrient and industrial properties of various agricultural products; logistics and storage procedures; chemical and mechanical processing operations; packaging; safety and health requirements; and related technical and business principles."
01.0504,01,Dog/Pet/Animal Grooming.,"A program that prepares individuals to provide cosmetic services for household pets, show animals, work animals and animal athletes.  Includes instruction in skin, coat, and pelt grooming and styling; skin care; hoof, nail, and claw care; animal massage; minor first aid and veterinary referral; animal grooming products and applications; health and safety; and applicable regulations."
01.0505,01,Animal Training.,"A program that prepares individuals to teach and exercise animals for leisure, sport, show, and professional purposes.  Includes instruction in animal psychology, health, and safety; human-animal interaction; learning and behavior styles associated with different breeds and species; and the technical and pedagogical aspects of training animals for such specific functions as obedient household pets, performing show animals, animal athletes, caregiving (e.g., seeing-eye dogs), search and rescue, and police/security work."
01.0507,01,Equestrian/Equine Studies.,"A program that focuses on the horse, horsemanship, and related subjects and prepares individuals to care for horses and horse equipment; ride and drive horses for leisure, sport, show, and professional purposes; and manage the training of horses and riders.  Includes instruction in horse breeding, nutrition, health, and safety; history of the horse and horsemanship; horse development and training; riding and equestrian technique; stable, paddock, and track management; and equipment maintenance and repair."
01.0508,01,Taxidermy/Taxidermist.,"A program that prepares individuals to reproduce life-like three-dimensional representations of living animals for permanent display using elements of the deceased specimen(s) as well as artificial materials, and to manage taxidermy services and businesses.  Includes instruction in specimen grading and selection, caping and fleshing, preservation procedures, tanning, drying, measurements, form and armature construction, carpentry and woodworking, molding and casting, drawing, sculptural techniques, painting and finishing techniques, basic business operations, customer communications, and applicable laws and regulations."
01.0509,01,Farrier Science.,"A program of study that prepares individuals to become specialists in equine hoof care (farriers). Includes instruction in equine science, equine health and first aid, general horseshoeing, corrective horseshoeing, gait analysis, and metal forging techniques using gas or coal."
01.0601,01,"Applied Horticulture/Horticulture Operations, General.","A program that focuses on the general production and processing of domesticated plants, shrubs, flowers, foliage, trees, groundcovers, and related plant materials; the management of technical and business operations connected with horticultural services; and the basic scientific principles needed to understand plants and their management and care."
01.0603,01,Ornamental Horticulture.,"A program that focuses on  domesticated plants and plant materials used for decorative and recreational applications and prepares individuals to breed, grow, and utilize ornamental plant varieties for commercial and aesthetic purposes.  Includes instruction in applicable plant science subjects, the environmental design and artistic aspects of horticultural product usage, and the management of horticultural operations."
01.0604,01,Greenhouse Operations and Management.,"A program that prepares individuals to produce, store, and deliver plant species in controlled indoor environments for wholesale, commercial, research, or other purposes.  Includes instruction in applicable principles of plant science; climate, irrigation, and nutrition control equipment operation and maintenance; facilities management; inventory control; safety procedures; and personnel supervision."
01.0605,01,Landscaping and Groundskeeping.,"A program that prepares individuals to manage and maintain indoor and/or outdoor ornamental and recreational plants and groundcovers and related conceptual designs established by landscape architects, interior designers, enterprise owners or managers, and individual clients.  Includes instruction in applicable principles of horticulture, gardening, plant and soil irrigation and nutrition, turf maintenance, plant maintenance, equipment operation and maintenance, personnel supervision, and purchasing."
01.0606,01,Plant Nursery Operations and Management.,"A program that prepares individuals to operate and manage outdoor plant farms, tree and shrub nurseries, and related facilities that develop domesticated plant products for propagation, harvesting, and transplantation.  Includes instruction in applicable principles of plant science, farm and business management, nursery operations, equipment operation and maintenance, safety procedures, and personnel supervision."
01.0607,01,Turf and Turfgrass Management.,"A program that focuses on turfgrasses and related groundcover plants and prepares individuals to develop ornamental or recreational grasses and related products; plant, transplant, and manage grassed areas; and to produce and store turf used for transplantation.  Includes instruction in applicable plant sciences, genetics of grasses, turf science, use analysis, turf management, and related economics."
01.0608,01,Floriculture/Floristry Operations and Management.,"A program that prepares individuals to operate and manage commercial and contract florist enterprises, supply and delivery services, and flower catering services.  Includes instruction in the applicable principles of plant science; purchasing, storage, and delivery systems; floral design and arranging; and principles of business management."
01.0609,01,Public Horticulture.,"A program of study that focuses on combining traditional horticulture and public education and outreach. Includes instruction in botany, soil science, plant science, agricultural economics, leadership, and business."
01.0610,01,Urban and Community Horticulture.,"A program that focuses on principles and techniques for the production of horticultural crops in an urban environment. Includes instruction in ecology, environmental sustainability, food production systems, and plant and soil sciences."
01.0701,01,International Agriculture.,"A program that focuses on the application of agricultural management and scientific principles to the problems of global food production and distribution, and to the study of the agricultural systems of other countries.  Includes instruction in agricultural economics; comparative agricultural systems; international agribusiness and law; third-world development studies and economic development; and global applications of climate, soil, water resources, ecological and environmental studies, and animal and plant sciences."
01.0801,01,Agricultural and Extension Education Services.,"A program that prepares individuals to provide referral, consulting, technical assistance, and educational services to gardeners, farmers, ranchers, agribusinesses, and other organizations.  Includes instruction in basic agricultural sciences, agricultural business operations, pest control, adult education methods, public relations, applicable state laws and regulations, and communication skills."
01.0802,01,Agricultural Communication/Journalism.,"A program that prepares individuals to apply journalistic, communication, and broadcasting principles to the development, production, and transmittal of agricultural information.  Includes instruction in basic journalism, broadcasting, film/video, and communication techniques; the production of technically specialized information products for agricultural audiences; and the principles of agricultural sciences and business operations needed to develop and communicate agricultural subject matter in effective ways."
01.0901,01,"Animal Sciences, General.","A general program that focuses on the scientific principles that underlie the breeding and husbandry of agricultural animals, and the production, processing, and distribution of agricultural animal products.  Includes instruction in the animal sciences, animal husbandry and production, and agricultural and food products processing."
01.0902,01,Agricultural Animal Breeding.,"A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural animal health, the development of new animal breeds, and the selective improvement of agricultural animal populations.  Includes instruction in genetics, genetic engineering, population genetics, animal health, animal husbandry, and biotechnology."
01.0903,01,Animal Health.,"A program that focuses on the application of biological and chemical principles to the study, prevention, and control of diseases in agricultural animal populations.  Includes instruction in environmental science, pharmacology, animal population studies, genetics, animal physiology and diet, disease prevention, treatment methodologies, and laboratory and testing procedures."
01.0904,01,Animal Nutrition.,"A program that focuses on the biology and chemistry of proteins, fats, carbohydrates, water, vitamins, and feed additives as related to animal health and the production of improved animal products.  Includes instruction in nutrition science, animal health and physiology, biochemistry, cellular and molecular biology, animal husbandry, and food science."
01.0905,01,Dairy Science.,"A program that focuses on the application of biological and chemical principles to the production and management of dairy animals and the production and handling of dairy products.  Includes instruction in animal sciences, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety."
01.0906,01,Livestock Management.,"A program that focuses on the application of biological and chemical principles to the production and management of livestock animals and the production and handling of meat and other products.  Includes instruction in animal sciences, range science, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety."
01.0907,01,Poultry Science.,"A program that focuses on the application of biological and chemical principles to the production and management of poultry animals and the production and handling of poultry products.  Includes instruction in avian sciences, nutrition sciences, food science and technology, biochemistry, hatchery design, and related aspects of human and animal health and safety."
01.1001,01,Food Science.,"A program that focuses on the application of biological, chemical, and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption, and the storage of such products.  Includes instruction in applicable aspects of the agricultural sciences, human physiology and nutrition, food chemistry, agricultural products processing, food additives, food preparation and packaging, food storage and shipment, and related aspects of human health and safety including toxicology and pathology."
01.1002,01,Food Technology and Processing.,"A program that focuses on the application of chemical, physical, and engineering principles to the development and implementation of manufacturing, packaging, storage, and distribution technologies and processes for food products.  Includes instruction in food engineering, food preservation and handling, food preparation, food packaging and display, food storage and shipment, and related equipment and facilities design, operation, and maintenance."
01.1003,01,Brewing Science.,"A program that focuses on the business, science, and technology of beer brewing operations. Includes instruction in biology, biochemistry, brewing, entrepreneurship, fermentation, malting, marketing, microbiology, quality control, and sanitation."
01.1004,01,Viticulture and Enology.,"A program that focuses on the application of scientific and agribusiness principles to the production of grapes, the making of wine, and the wine business. Includes instruction in grapes and wines of the world; grape production; winemaking technology; plant biology; chemistry; food science, safety, and packaging; soil science; pest management; and marketing and business management."
01.1005,01,Zymology/Fermentation Science.,"A program that focuses on the business, science, and technology of fermented food production. Includes instruction in biology, biochemistry, brewing, entrepreneurship, fermentation, marketing, microbiology, quality control, and sanitation."
01.1101,01,"Plant Sciences, General.","A general program that focuses on the scientific principles that underlie the breeding, cultivation, and production of agricultural plants, and the production, processing, and distribution of agricultural plant products.  Includes instruction in the plant sciences, crop cultivation and production, and agricultural and food products processing."
01.1102,01,Agronomy and Crop Science.,"A program that focuses on the chemical, physical, and biological relationships of crops and the soils nurturing them.  Includes instruction in the growth and behavior of agricultural crops, the development of new plant varieties, and the scientific management of soils and nutrients for maximum plant nutrition, health, and productivity."
01.1103,01,Horticultural Science.,"A program that focuses on the scientific principles related to the cultivation of garden and ornamental plants, including fruits, vegetables, flowers, and landscape and nursery crops.  Includes instruction in specific types of plants, such as citrus; breeding horticultural varieties; physiology of horticultural species; and the scientific management of horticultural plant development and production through the life cycle."
01.1104,01,Agricultural and Horticultural Plant Breeding.,"A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural plant health, the development of new plant varieties, and the selective improvement of agricultural plant populations.  Includes instruction in genetics, genetic engineering, population genetics, agronomy, plant protection, and biotechnology."
01.1105,01,Plant Protection and Integrated Pest Management.,"A program that focuses on the application of scientific principles to the control of animal, insect and weed infestation of domesticated plant populations and other settings, including agricultural crops; the prevention/reduction of attendant economic loss; and the control of environmental pollution and degradation related to pest infestation and pest control measures. Includes instruction in entomology, applicable animal sciences, plant pathology and physiology, weed science, crop science, and environmental toxicology."
01.1106,01,Range Science and Management.,"A program that focuses on the scientific study of rangelands, arid regions, grasslands, and other areas of low productivity, as well as the principles of managing such resources for maximum benefit and environmental balance.  Includes instruction in livestock management, wildlife biology, plant sciences, ecology, soil science, and hydrology."
01.1201,01,"Soil Science and Agronomy, General.","A program that generally focuses on the scientific classification of soils, soil properties, and their relationship to agricultural crops.  Includes instruction in soil chemistry, soil physics, soil biology, soil fertility, morphogenesis, mineralogy, hydrology, agronomy, and soil conservation and management."
01.1202,01,Soil Chemistry and Physics.,"A program that focuses on the application of chemical and physical principles to research and analysis concerning the nature and properties of soils and the conservation and management of soils.  Includes instruction in soil and fluid mechanics, mineralogy, sedimentology, thermodynamics, geomorphology, environmental systems, analytical methods, and organic and inorganic chemistry."
01.1203,01,Soil Microbiology.,"A program that focuses on application of microbiological theory and methods to the study of the organismic properties of soils, soil-plant and soil-animal interactions, and the biological components and effects of soil management strategies.  Includes instruction in microbiology and related biological sciences, applicable animal and plant sciences, soil chemistry and physics as related to biological characteristics, and environmental science."
01.1302,01,Pre-Veterinary Studies.,A program that prepares individuals for admission to a professional program in veterinary medicine.
01.8001,01,Veterinary Medicine.,"A program that prepares individuals for the independent professional practice of veterinary medicine, involving the diagnosis, treatment, and health care management of animals and animal populations and the prevention and management of zoonosis.  Includes instruction in the veterinary basic sciences, infectious and noninfectious disease, diagnostic procedures, veterinary clinical medicine, obstetrics, radiology, anesthesiology, surgery, toxicology, animal health and preventive medicine, clinical nutrition, practice management, and professional standards and ethics."
01.8101,01,"Veterinary Sciences/Veterinary Clinical Sciences, General.",An integrated program of study in one or more of the veterinary medical or clinical sciences or a program undifferentiated as to title.
01.8102,01,Comparative and Laboratory Animal Medicine.,"A program that focuses on the scientific study of animal models of human disease and related experimental procedures, and prepares veterinarians and animal health specialists to manage the laboratory use and care of experimental animals.  Includes instruction in laboratory animal husbandry, laboratory animal disease, biohazard control, gnotobiology, breeding, comparative anatomy and physiology, comparative gene mapping, protein function, physical and mathematical modeling, computer modeling, stem cell technology, colony and genetic stock management, cryopreservation, applicable regulations, and bioethics."
01.8103,01,Large Animal/Food Animal and Equine Surgery and Medicine.,"A program that focuses on the scientific study of the internal medicine and invasive and noninvasive treatment of herd, work, sport, and food animals.  Includes instruction in equine medicine, swine and dairy medicine, food animal medicine, pathophysiology, large animal diseases, large animal anesthesiology and surgical procedures, preoperative and postoperative care, and specific medical specialties such as dentistry, ophthalmology, oncology, obstetrics/theriogenology, and orthopedics."
01.8104,01,Small/Companion Animal Surgery and Medicine.,"A program that focuses on the scientific study of the internal medicine and invasive and noninvasive treatment of companion and household animals.  Includes instruction in avian medicine, pet care, companion animal medicine, pathophysiology, small animal diseases, small animal anesthesiology and surgical procedures, preoperative and postoperative care, and specific medical specialties such as dentistry, ophthalmology, oncology, obstetrics/theriogenology, and orthopedics."
01.8105,01,Veterinary Anatomy.,"A program that focuses on the scientific study of the structure of small and large animal cellular, organ, tissue, and body systems and their relation to physiologic function, disease, and therapeutic treatment.  Includes instruction in histology, ultrastructure, molecular biology, biochemistry, developmental biology, neuroscience, electrophysiology, electron microscopy, computer imaging, and applications to specific species."
01.8106,01,Veterinary Infectious Diseases.,"A program that focuses on the scientific study of zoonotic infectious diseases, disease mechanisms, and prevention and treatment strategies.  Includes instruction in disease pathogenesis, vector biology, mycobacterial infection, blood parasites, retroviruses, food-borne diseases, new infectious agents, ecotoxicology, mechanisms of disease transfer, antibody resistance, comparative pathology, communicable diseases, and disease prevention and eradication."
01.8107,01,Veterinary Microbiology and Immunobiology.,"A program that focuses on the scientific study of the microbial causation and immunologic processes related to animal disease, prevention, and treatment.  Includes instruction in bacteriology, mycology, virology, immune response mechanisms, humoral and cell function, cancer defenses, immune system dysfunction, immunologic diseases, parasitology, pathogenesis, and disease vectors."
01.8108,01,Veterinary Pathology and Pathobiology.,"A program that focuses on the scientific study of the development and process of disease in domestic and wild animals and applications to diagnosis, prevention, and treatment.  Includes instruction in pathogenesis, immunoparasitology, viral therapy, inherited metabolic diseases, environmental toxicology, anatomical and clinical pathology, necropsy and biopsy techniques, clinical laboratory analysis, pathological interpretation, and disease diagnosis."
01.8109,01,Veterinary Physiology.,"A program that focuses on  the scientific study of the functional dynamics of animal biological systems and their relationship to the diagnosis and treatment of disease and injury.  Includes instruction in mammalian and non-mammalian physiology, laboratory physiology, physiological responses to the environment, endocrinology, animal biotechnology, mechanisms of hormone action, organ systems, metabolism, and pathophysiology."
01.8110,01,"Veterinary Preventive Medicine, Epidemiology, and Public Health.","A program that focuses on the study of the prevention and control of communicable animal diseases, diseases affecting humans, and prepares veterinarians to function as public health specialists.  Includes instruction in animal epidemiology, biostatistics, food safety and quality assurance, food toxicology, zoonotic and infectious diseases, disease vectors and transference, production medicine, animal health,  veterinary public health practice, and inspection and evaluation methods."
01.8111,01,Veterinary Toxicology and Pharmacology.,"A program that focuses on the scientific study of specific environmental and food hazards affecting domestic and wild animals and the development and action of chemical antidotes and treatments.  Includes instruction in small and large animal toxicology and pharmacology, neurotoxicology, pharmacodynamics, pharmacokinetics, neuropharmacology, xenobiotics, drug resistance, pesticides, toxicological pathology, genetic and molecular toxicology, environmental toxicology, drug and toxicant analysis and evaluation, and environmental radiology."
01.8201,01,"Veterinary Administrative Services, General.","A general program that prepares individuals to provide administrative support services in a veterinary office or animal care facility. Includes instruction in business office operations, customer service, principles of veterinary health care operations, record-keeping, veterinary terminology, and professional standards and ethics."
01.8202,01,Veterinary Office Management/Administration.,"A program that prepares individuals to manage the specialized business functions of a veterinary office. Includes instruction in business office operations, business and financial record-keeping, personnel supervision, veterinary care policy administration, conference planning, scheduling and coordination, public relations, and applicable law and regulations."
01.8203,01,Veterinary Reception/Receptionist.,"A program that prepares individuals, under the supervision of office managers, veterinary technicians, or veterinarians, to provide customer service, visitor reception, and patient intake and discharge services. Includes instruction in veterinary office and animal care facility procedures, veterinary terminology, interpersonal skills, record-keeping, customer service, telephone skills, data entry, interpersonal communications skills, and applicable policies and regulations."
01.8204,01,Veterinary Administrative/Executive Assistant and Veterinary Secretary.,"A program that prepares individuals to perform the duties of special assistants and personal secretaries for practicing veterinarians, veterinary health care facilities and services administrators, and other veterinary professionals. Includes instruction in business and veterinary communications, veterinary terminology, principles of veterinary health care operations, public relations and interpersonal communications, software applications, record-keeping and filing systems, scheduling and meeting planning, applicable policy and regulations, and professional standards and ethics."
01.8301,01,Veterinary/Animal Health Technology/Technician and Veterinary Assistant.,"A program that prepares individuals, under the supervision of veterinarians, laboratory animal specialists, and zoological professionals, to provide patient management, care, and clinical procedures assistance as well as owner communication.  Includes instruction in animal nursing care, animal health and nutrition, animal handling, clinical pathology, radiology, anesthesiology, dental prophylaxis, surgical assisting, clinical laboratory procedures, office administration skills, patient and owner management, and applicable standards and regulations."
05.0101,05,African Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the African Continent, usually with an emphasis on Africa south of the Sahara, and including the African diasporas overseas."
05.0102,05,American/United States Studies/Civilization.,"A program that focuses on the history, society, politics, culture, and economics of the United States and its Pre-Columbian and colonial predecessors, and including the flow of immigrants from other societies."
05.0103,05,Asian Studies/Civilization.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the Asian Continent, including the study of the Asian diasporas overseas."
05.0104,05,East Asian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of East Asia, defined as including China, Korea, Japan, Mongolia, Taiwan, Tibet, related borderlands and island groups, and including the study of the East Asian diasporas overseas."
05.0105,05,"Russian, Central European, East European and Eurasian Studies.","A program that focuses on the history, society, politics, culture, and economics of the region encompassing Russia, Central Europe, Eastern Europe, and Eurasia, including the Balkan, Baltic, Caucasus, and Central Asian states that were republics of the former Soviet Union."
05.0106,05,European Studies/Civilization.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the European Continent, including the study of European migration patterns and colonial empires."
05.0107,05,Latin American Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the Hispanic peoples of the North and South American Continents outside Canada and the United States, including the study of the Pre-Columbian period and the flow of immigrants from other societies."
05.0108,05,Near and Middle Eastern Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of North Africa, Southwestern Asia, Asia Minor, and the Arabian Peninsula, related borderlands and island groups, and including emigrant and immigrant groups."
05.0109,05,Pacific Area/Pacific Rim Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Australasia and the Pacific Ocean, related island groups and bordering coastal regions, and including pre- and post-colonial migration patterns."
05.0110,05,Russian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the Russian Federation and its Soviet, Czarist, and medieval predecessors and related borderlands."
05.0111,05,Scandinavian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Scandinavia, defined as Northern Europe including Denmark, Finland, Iceland, Norway, Sweden, and related island groups (e.g., Greenland) and borderlands."
05.0112,05,South Asian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of South Asia, defined as including Afghanistan, India, the Maldives, Myanmar (Burma), Pakistan, and Sri Lanka and related borderlands and island groups; and including the study of migration patterns and overseas diasporas."
05.0113,05,Southeast Asian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Southeast Asia, defined as including Brunei, Cambodia, Indonesia, Laos, Malaysia, The Philippines, Singapore, Thailand, and Viet Nam; related borderlands and island groups; and including the study of migration patterns and overseas diasporas."
05.0114,05,Western European Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of historical Western Europe, defined as including Britain, Ireland, France, the Low Countries, the Iberian Peninsula, Italy, the Western Mediterranean, and related island groups and borderlands."
05.0115,05,Canadian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Canada and its Pre-Columbian, colonial, and pre-federation predecessors, including immigrant flows and related borderlands and island groups."
05.0116,05,Balkans Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the Balkan Peninsula and associated island groups and borderlands, Southern Slavic and non-Slavic, during the medieval, Ottoman, and modern periods."
05.0117,05,Baltic Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the coastlands of the Baltic Sea, including Baltic, Germanic, Scandinavian, and Slavic populations, related borderlands and island groups, and problems of cultural survival and assimilation."
05.0118,05,Slavic Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the Slavic peoples inhabiting Europe, Asia, and in immigrant groups elsewhere, including the study of the emergence and migration patterns of Slavic culture, languages, and populations."
05.0119,05,Caribbean Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples inhabiting the major islands and archipelagoes of the Caribbean Sea and related coastal borderlands, including immigration patterns and Pre-Columbian, colonial, and modern societies."
05.0120,05,Ural-Altaic and Central Asian Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples and countries of Inner/Central Asia, including the Turkic and Mongolian inhabitants of the Caspian, Amur, Tien Shan, Baikal, Gobi, Siberian, and Manchurian areas and the historical Silk Road, in terms of their past and present development."
05.0121,05,Commonwealth Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples and countries comprising components of the historical British Empire and modern British Commonwealth, including migration patterns, shared sociocultural and political features and problems, and contemporary relations."
05.0122,05,"Regional Studies (U.S., Canadian, Foreign).","A program that focuses on the defined geographic subregions and subcultures within modern and historical countries and societies. Includes such topics as Acadian Studies, French Canadian and Quebec Studies, Southern (U.S.) Studies, New England Studies, Southwestern Studies, Northern Studies, and others."
05.0123,05,Chinese Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of present-day China and its historical predecessors, related borderlands and island groups, and the overseas Chinese diaspora."
05.0124,05,French Studies.,"A program that focuses on the history, society, politics, culture, and economics of France, other Francophone countries inside and outside Europe, and the French colonial experience and the associated French minorities around the world."
05.0125,05,German Studies.,"A program that focuses on the history, society, politics, culture, and economics of Germany, the neighboring countries of Austria and Switzerland, the German minorities in neighboring European countries, and the historical areas of German influence across Europe and overseas."
05.0126,05,Italian Studies.,"A program that focuses on the history, society, politics, culture, and economics of modern Italy and its predecessors on the Italian Peninsula, including the overseas migrations of Italian peoples."
05.0127,05,Japanese Studies.,"A program that focuses on the history, society, politics, culture, and economics of the peoples of Japan, and related island groups and coastal neighbors."
05.0128,05,Korean Studies.,"A program that focuses on the history, society, politics, culture, and economics of the peoples of Korea, including related island groups and borderlands."
05.0129,05,Polish Studies.,"A program that focuses on the history, society, politics, culture, and economics of Poland and the current and historical inhabitants of the Polish lands, including borderlands, from earliest times to the present."
05.0130,05,Spanish and Iberian Studies.,"A program that focuses on the history, society, politics, culture, and economics of the peoples of the Iberian Peninsula and related island groups and border regions from earliest times to the present, with particular emphasis on the development of Spain and Portugal but including other historical and current cultures."
05.0131,05,Tibetan Studies.,"A program that focuses on the history, society, politics, culture, and economics of Tibet and its borderlands, with emphasis on both pre-modern and modern Tibet and associated religious and exile movements."
05.0132,05,Ukraine Studies.,"A program that focuses on the history, society, politics, culture, and economics of the Ukraine and its inhabitants, and related border regions, from earliest times to the present."
05.0133,05,Irish Studies.,"A program that focuses on the history, society, politics, culture, and economics of Ireland and the Irish Diaspora, from the early Christian period to the present."
05.0134,05,Latin American and Caribbean Studies.,"An integrated program that focuses on the history, society, politics, culture, and economics of the peoples and countries of the Latin American and Caribbean region."
